comparison_id,concept_id,generosity,shared_shape_notes,reasoning,n_tk_forms,n_an_forms,permutation_id
181,pound,2,"Some overlap in CV(C) structures with /tVp/, /tVk/, /tVm/ forms (e.g., 'tup', 'tap', 'tam' in bag_a and 'tup', 'topu', 'tam' patterns in bag_b), plus multiple /bVyu/, /bayu/ strings in bag_b and a few tap/tam/tɔi items in bag_a, but overall correspondences are weak and inconsistent.","While both bags show a predominance of short CVC syllable structures and a scattering of superficially similar items (such as 'tup' & 'tupi', and 'tap' & 'topu'), there is not a strong repeating shape or clear correspondence recurring across many items in both sets. The overlap appears mostly accidental or generic for these languages' phonotactic profiles rather than due to inherited morphology.",22,80,0
182,bealive,1,none noted,"Bag A is dominated by forms with initial l-, -ei or -əi finals, and a few items starting with m-, p-, or ʔ-, mostly monosyllabic or simple disyllabic. Bag B, in contrast, is typologically diverse, featuring many polysyllabic or reduplicated forms, varied initial consonants, and lacks any clear repeated string that aligns segmentally with Bag A's common shapes. No recurring skeleton appears to suggest hypothetical cognacy on sound shape alone.",11,80,0
183,hit,1,none noted,"There are no clear recurring segmental shapes or consonant-vowel patterns that appear across multiple forms in both bags. The most common structures in bag_a (e.g., tV(C), mVp, lV(C)) do not match any recurring patterns in bag_b, which features much longer and more complex forms, often with affixal elements or reduplication that are not matched in bag_a. No patterns are repeated widely across both sets.",16,80,0
184,pathorroad,1,none noted,"Bag A has forms with initial velar/uvular aspirates and a recurring 'kh/qh-(u)n' or 'kʰwən' pattern, while Bag B is dominated by forms with medial and final -lan/-ran/-nan/-an patterns, often with initial (d/l/r/s/k/t) and sometimes reduplication or affixal material. There is no clear recurring consonant/vowel skeleton overlap or correspondences between the two bags even at a schematic level.",6,80,0
185,worm,1,none noted,"There are no clear recurring segmental patterns or root shapes shared across both bags. Bag A is dominated by forms with nasal-initial, VCVCV, or CVCVn patterns and some nasal finals, while bag B presents a much wider variety of phonological shapes without clear parallelism to bag A. No widespread and distinctive shape is evident in both sets.",13,80,0
186,think,2,"Some superficial recurrence of nasal-final (–ŋ, –m) and initial s-/θ- in bag_a, with sparse echoing of nasals, m-, and s- in bag_b but no clear or systematic recurring shape matches.","There are abundant nasal forms (especially in coda: –m, –ŋ) in bag_a, and a few m- or nasal-initial forms in bag_b, but overall the segmental shapes are distinct and patterns that appear widely in bag_a (such as siŋ/θiŋ) do not recur in bag_b. Isolated instances of 'isip', 'nem', or nasal-final forms in bag_b do not clearly align with bag_a's frequent shapes. There are no robust or systematic recurring sequences present across both bags.",11,80,0
187,child,2,"Some overlap in forms with 'lak'/'la(k)' and 'nak/anak'; both bags show CVC or CVC+ forms with liquids and nasals, but no widespread, consistent shared patterns.","A few forms in bag_b such as 'walak', 'alak', 'ʔalák' contain 'lak', which is similar to the 'lɤk', 'lɐk', 'lɯk' forms in bag_a, suggesting a remote possibility of related shapes. However, these are isolated and not widely matched across both bags. Overall, the majority of segmental shapes differ, with only scattered, potentially coincidental resemblances.",9,80,0
188,stab,1,none noted,"Bag A contains multiple forms with the recurring shape (C)bVŋ, especially with initial glottal or voiced stops and a nasal coda. Bag B, however, shows a high degree of phonological diversity with no concentrated recurring shapes that align with Bag A's patterns. There are no apparent widespread segmental similarities or regular correspondences observable across both bags.",12,80,0
189,maleperson,1,none noted,"Bag A exhibits highly regular forms featuring combinations of initial p/pɔ/pu/pou plus saːi/θaːi/ɬaːi, resulting in repeated CV+CVVC strings. Bag B is highly diverse, with little to no recurrence of these shapes or segmental patterns. No widespread, repeated segmental shape is apparent across both bags.",13,80,0
190,stick,2,"Possible surface overlaps in open syllables (ka-, ki-, ku-, fa-, ma-, ta-, la-) and nasals (-ŋ, -n), but no strong recurring skeletons across both bags; some initial k-/f-/t- widespread in both.","A few generic syllable structures recur (e.g., initial k-, t-, m-, open syllables, and sometimes final nasal -n/-ŋ), but there are no highly diagnostic or unusually shaped patterns replicated across items in both bags. Similarities appear mostly due to basic phonotactics, not evident recurring segmental patterns suggestive of strong hypothetical cognacy.",15,80,0
191,workactivity,1,none noted,"Bag A overwhelmingly features sequences like 'ku', 'ho', and 'ŋ' in consistent CVC structures, especially '[k/tɕ]u + hVŋ', with high recurrence. Bag B's forms are highly diverse in both structure and segmental content, showing no recurring shape parallel to those in Bag A. No consistent or widespread matching skeleton or correspondence pattern detected across both bags.",14,80,0
192,fasten,1,none noted,"There is no consistent or recurring consonant-vowel skeleton or segmental pattern shared across multiple items in both bags. Shapes in bag_a are primarily monosyllabic or disyllabic with initial sibilants, affricates, or stops, often ending in -k or -t, while bag_b exhibits much greater syllabic complexity and variation, with no evident overlap in structure. No base to hypothesize cognacy on shape alone.",6,80,0
193,swell,1,none noted,"The single form in bag_a ('fɔk²²') is a short CVC shape with the consonant cluster /f/ ... /k/, and a rounded vowel. Bag_b contains a very wide variety of much longer and more complex forms, usually multisyllabic and with frequent /b/, /v/, /m/, or liquids, but does not show any clear recurring VC or CVC structures matching 'fɔk'. No promising shape-level similarities are found between the two bags.",1,80,0
194,rat,1,none noted,"The forms in bag_a are highly uniform (all n̥o or n̥õ variants), while bag_b exhibits a wide variety of segmental shapes and syllable structures. There are no recurring patterns or segmental similarities between the two bags, and no evidence of widespread similar shapes across both sets.",3,80,0
